ticker,yahoo_symbol,symbol_type,active_flag,name,industry,market_cap,last_price,volume,source_symbol
MKTX,MKTX,stock,TRUE,MarketAxess Holdings Inc. Common Stock,Finance,4286768821,120.62,908728,MKTX
CBT,CBT,stock,TRUE,Cabot Corporation Common Stock,Industrials,4286642468,83.04,479727,CBT
NWE,NWE,stock,TRUE,NorthWestern Energy Group Inc. Common Stock,Utilities,4281572994,69.61,389461,NWE
COLD,COLD,stock,TRUE,Americold Realty Trust Inc. Common Stock,Real Estate,4271031598,14.97,6874606,COLD
SFBS,SFBS,stock,TRUE,ServisFirst Bancshares Inc. Common Stock,Finance,4263700194,78,239072,SFBS
RDW,RDW,stock,TRUE,Redwire Corporation Common Stock,Industrials,4262828341,21.43,74962992,RDW
TXG,TXG,stock,TRUE,10x Genomics Inc. Class A Common Stock,Industrials,4253032332,33.5,4152526,TXG
CVSA,CVSA,stock,TRUE,Covista Inc. Common Shares,Real Estate,4235143887,124.45,242523,CVSA
PFSI,PFSI,stock,TRUE,PennyMac Financial Services Inc. Common Stock,Finance,4233435059,81.53,637538,PFSI
CVCO,CVCO,stock,TRUE,Cavco Industries Inc. Common Stock When Issued,Consumer Discretionary,4228416804,550.29,77799,CVCO
COCO,COCO,stock,TRUE,The Vita Coco Company Inc. Common Stock,Consumer Staples,4225193329,73.98,744114,COCO
LASR,LASR,stock,TRUE,nLIGHT Inc. Common Stock,Technology,4224448217,74.89,895364,LASR
OLED,OLED,stock,TRUE,Universal Display Corporation Common Stock,Technology,4216930368,90.2,740643,OLED
SLM,SLM,stock,TRUE,SLM Corporation Common Stock,Finance,4201851929,22.28,3506440,SLM
UCTT,UCTT,stock,TRUE,Ultra Clean Holdings Inc. Common Stock,Technology,4199968299,93.69,999811,UCTT
BRC,BRC,stock,TRUE,Brady Corporation Common Stock,Consumer Discretionary,4197749589,89.1,217065,BRC
FULT,FULT,stock,TRUE,Fulton Financial Corporation Common Stock,Finance,4189648205,21.92,1617203,FULT
BETA,BETA,stock,TRUE,Beta Technologies Inc. Class A Common Stock,Industrials,4183606624,18.13,1778779,BETA
ENVA,ENVA,stock,TRUE,Enova International Inc. Common Stock,Finance,4177178643,167.86,232836,ENVA
SKT,SKT,stock,TRUE,Tanger Inc. Common Stock,Real Estate,4176885942,36.36,782081,SKT
RELY,RELY,stock,TRUE,Remitly Global Inc. Common Stock,Consumer Discretionary,4171214975,19.81,3938707,RELY
TREX,TREX,stock,TRUE,Trex Company Inc. Common Stock,Basic Materials,4169455995,40.13,1126871,TREX
BCO,BCO,stock,TRUE,Brinks Company (The) Common Stock,Industrials,4156770168,100.94,390383,BCO
AZZ,AZZ,stock,TRUE,AZZ Inc.,Industrials,4156300500,138.48,196220,AZZ
RDNT,RDNT,stock,TRUE,RadNet Inc. Common Stock,Health Care,4152674003,52.81,1124594,RDNT
PI,PI,stock,TRUE,Impinj Inc. Common Stock,Technology,4147931813,136.18,338033,PI
ERAS,ERAS,stock,TRUE,Erasca Inc. Common Stock,Health Care,4126764872,13.27,7958624,ERAS
MAT,MAT,stock,TRUE,Mattel Inc. Common Stock,Consumer Discretionary,4126520000,14.2,3399426,MAT
SKY,SKY,stock,TRUE,Champion Homes Inc. Common Stock,Consumer Discretionary,4093983631,74.58,666128,SKY
PLNT,PLNT,stock,TRUE,Planet Fitness Inc. Common Stock,Consumer Discretionary,4077797743,51.33,1780937,PLNT
SEZL,SEZL,stock,TRUE,Sezzle Inc. Common Stock,Finance,4067860488,120.97,386948,SEZL
CRK,CRK,stock,TRUE,Comstock Resources Inc. Common Stock,Energy,4061813357,13.83,2458808,CRK
NTSK,NTSK,stock,TRUE,Netskope Inc. Class A Common Stock,Technology,4051354199,10.03,13961143,NTSK
CRGY,CRGY,stock,TRUE,Crescent Energy Company Class A Common Stock,Energy,4029069862,12.2,3446547,CRGY
POST,POST,stock,TRUE,Post Holdings Inc. Common Stock,Consumer Staples,4021019830,88.72,1099222,POST
EWTX,EWTX,stock,TRUE,Edgewise Therapeutics Inc. Common Stock,Health Care,4005687613,37.23,1045665,EWTX
LOPE,LOPE,stock,TRUE,Grand Canyon Education Inc. Common Stock,Real Estate,3996499836,150.73,318258,LOPE
VNT,VNT,stock,TRUE,Vontier Corporation Common Stock,Industrials,3987456000,28.32,1699094,VNT
VCYT,VCYT,stock,TRUE,Veracyte Inc. Common Stock,Health Care,3984844791,49.94,1645150,VCYT
DAN,DAN,stock,TRUE,Dana Incorporated Common Stock,Consumer Discretionary,3971167796,36.69,621548,DAN
OII,OII,stock,TRUE,Oceaneering International Inc. Common Stock,Energy,3967866005,39.78,692380,OII
INOD,INOD,stock,TRUE,Innodata Inc. Common Stock,Technology,3967625997,121.5,2998601,INOD
LMND,LMND,stock,TRUE,Lemonade Inc. Common Stock,Finance,3961648089,51.57,1483243,LMND
HP,HP,stock,TRUE,Helmerich & Payne Inc. Common Stock,Energy,3957265699,39.6,1157080,HP
MMED,MMED,stock,TRUE,MiniMed Group Inc. Common Stock,Health Care,3948329031,14.06,1263082,MMED
FRMI,FRMI,stock,TRUE,Fermi Inc. Common Stock,Real Estate,3940208797,6.18,8333379,FRMI
GFF,GFF,stock,TRUE,Griffon Corporation Common Stock,Industrials,3939943603,85.9,327908,GFF
QLYS,QLYS,stock,TRUE,Qualys Inc. Common Stock,Technology,3935711562,111.525,672493,QLYS
WING,WING,stock,TRUE,Wingstop Inc. Common Stock,Consumer Discretionary,3934559257,144.48,948252,WING
MWA,MWA,stock,TRUE,MUELLER WATER PRODUCTS Common Stock,Industrials,3925859372,25.09,1440138,MWA
PII,PII,stock,TRUE,Polaris Inc. Common Stock,Consumer Discretionary,3917181460,68.86,798726,PII
HGV,HGV,stock,TRUE,Hilton Grand Vacations Inc. Common Stock,Consumer Discretionary,3909227220,49.01,1688489,HGV
CATY,CATY,stock,TRUE,Cathay General Bancorp Common Stock,Finance,3900123936,58.18,436543,CATY
IRT,IRT,stock,TRUE,Independence Realty Trust Inc. Common Stock,Real Estate,3898720840,16.54,4108530,IRT
THO,THO,stock,TRUE,Thor Industries Inc. Common Stock,Industrials,3896494369,74.85,1117382,THO
HHH,HHH,stock,TRUE,Howard Hughes Holdings Inc. Common Stock,Real Estate,3891100678,65.26,599688,HHH
INSW,INSW,stock,TRUE,International Seaways Inc. Common Stock,Consumer Discretionary,3885623589,78.49,374134,INSW
VECO,VECO,stock,TRUE,Veeco Instruments Inc. Common Stock,Technology,3885391655,63.66,2452480,VECO
WAY,WAY,stock,TRUE,Waystar Holding Corp. Common Stock,Technology,3878456656,20.22,1674780,WAY
BNL,BNL,stock,TRUE,Broadstone Net Lease Inc. Common Stock,Real Estate,3877519742,20.22,1753013,BNL
LIF,LIF,stock,TRUE,Life360 Inc. Common Stock,Technology,3873314830,47.8,626320,LIF
EXTR,EXTR,stock,TRUE,Extreme Networks Inc. Common Stock,Telecommunications,3872339186,29.61,2002406,EXTR
OPLN,OPLN,stock,TRUE,OPENLANE Inc. Common Stock,Consumer Discretionary,3868092330,36.51,660899,OPLN
ATMU,ATMU,stock,TRUE,Atmus Filtration Technologies Inc. Common Stock,Consumer Discretionary,3855755326,47.21,710191,ATMU
